countyName,pop2010,pctfor,turnout,medage,divorced,churches,obama08,mccain08,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,colleges,students,white,black,popden,pctw,pctb,pctd,churchden,pctba,pctstud,pct18-24,pct25-59,pct60up,colden,pctcolenrol,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,pctmb,pctmm,pctmp,pctmd,pctfb,pctfm,pctfp,pctfd,Owneroccupied,Renteroccupied,pctown,pctrent,evanrate
franklin,60836,66.13609,37.99,39.2,2054,128,49,50,85.32,5957,43710,3003,4960,29596,11431,1,733,40003,16212,123.650407,0.657554737,0.266486949,0.033762904,0.002104017,0.097918995,0.012048787,0.081530673,0.486488264,0.187898613,1.64E-05,0.04936222,1779,609,146,150,2378,757,71,67,0.029242554,0.01001052,0.002399895,0.002465645,0.039088697,0.01244329,0.001167072,0.001101322,17707,5058,0.291061214,0.083141561,312.62
gaston,206186,76.68092,32.33,39,10022,529,37,62,19.65,24690,43253,10768,17714,99497,39832,2,5920,161166,31431,579.174157,0.781653459,0.15244003,0.048606598,0.002565645,0.119746249,0.02871194,0.08591272,0.482559437,0.193184794,9.70E-06,0.05222469,7969,2567,874,544,9229,2868,587,52,0.038649569,0.012449924,0.004238891,0.002638394,0.044760556,0.013909771,0.002846944,0.000252199,53736,23627,0.260619053,0.114590709,412.90
gates,12192,73.58964,30.38,42.06,562,51,52,47,100,859,45682,429,960,5737,2616,0,0,7768,4044,35.753666,0.637139108,0.331692913,0.046095801,0.004183071,0.070456037,0,0.078740157,0.470554462,0.214566929,0,0.035187008,304,19,19,0,348,146,23,0,0.024934383,0.001558399,0.001558399,0,0.028543307,0.011975066,0.001886483,0,3595,811,0.294865486,0.066519029,414.69
graham,8882,88.85901,40.05,44.34,320,21,31,68,100,787,28447,186,652,3862,2452,0,0,8004,0,30.417808,0.90114839,0,0.036027922,0.002364332,0.08860617,0,0.07340689,0.434811979,0.27606395,0,0.020941229,191,117,44,10,341,82,0,2,0.021504166,0.013172709,0.004953839,0.001125873,0.038392254,0.009232155,0,0.000225175,2948,836,0.331907228,0.094122945,321.52
granville,60513,67.467445,36.4,39.93,2403,139,53,46,54.75,5467,48210,2852,5186,30667,11276,0,0,36205,19652,113.960452,0.598301191,0.324756664,0.039710475,0.002297027,0.090344224,0,0.085700593,0.506783666,0.186340125,0,0.047130369,1925,486,160,91,2016,646,107,36,0.031811346,0.008031332,0.00264406,0.001503809,0.033315155,0.010675392,0.001768215,0.000594913,15033,4787,0.248425958,0.079106969,337.29
greene,21260,72.41462,38.38,37.86,634,61,47,53,100,1331,41488,1320,1834,10655,3864,0,0,10850,7964,80.226415,0.510348071,0.374600188,0.029821261,0.002869238,0.062605833,0,0.086265287,0.501175917,0.181749765,0,0.062088429,486,92,30,19,532,163,9,0,0.022859831,0.004327375,0.001411101,0.000893697,0.025023518,0.00766698,0.00042333,0,4934,2087,0.232079022,0.098165569,148.16
guilford,489671,50.030777,34.95,36.4,23555,1094,59,41,12.69,100150,45676,44100,57268,230804,87248,8,43611,278525,15889,753.34,0.568800276,0.032448317,0.048103727,0.002234153,0.204525079,0.089061839,0.116951994,0.471345046,0.178176776,1.63E-05,0.090060469,31568,9957,3048,2661,36503,12775,2022,1616,0.064467775,0.020334061,0.006224588,0.005434261,0.074545971,0.026088945,0.004129303,0.003300175,119154,70407,0.243334811,0.143784296,232.14
halifax,54565,67.75982,35.9,41.89,2565,232,64,36,54.71,4254,30439,2343,4564,24939,12527,1,1484,21890,29109,75.262069,0.401172913,0.533473839,0.047008155,0.00425181,0.077962064,0.027196921,0.083643361,0.457051223,0.229579401,1.83E-05,0.042939613,923,411,208,120,1836,623,88,45,0.016915605,0.007532301,0.003811967,0.002199212,0.033647943,0.011417575,0.001612755,0.000824704,13827,7763,0.253404197,0.142270686,296.59
harnett,115792,75.24864,30.78,33.49,4783,265,41,58,55.92,10891,42853,9957,11732,54299,17633,2,6785,78300,23973,194.608403,0.676212519,0.207035028,0.041306826,0.002288586,0.094056584,0.058596449,0.101319608,0.468935678,0.152281677,1.73E-05,0.085990397,3247,1295,234,232,4317,1281,144,141,0.028041661,0.011183847,0.002020865,0.002003593,0.037282368,0.01106294,0.001243609,0.001217701,26344,12767,0.2275114,0.110258049,230.90
haywood,58971,72.14295,36.84,45.72,3178,154,46,53,55.44,8838,41377,2150,4119,26355,17025,1,2023,56405,624,106.445848,0.956487087,0.010581472,0.053890896,0.002611453,0.149870275,0.034304997,0.069847891,0.446914585,0.288701226,1.70E-05,0.036458598,2644,968,385,340,3248,1007,177,69,0.044835597,0.016414848,0.006528633,0.005765546,0.05507792,0.01707619,0.003001475,0.001170067,19879,6566,0.337097896,0.111342863,524.21
henderson,106966,66.27109,38.6,45.43,5448,181,39,60,33.27,20656,46446,4035,6619,46558,31841,1,2089,94914,3224,286.005348,0.887328684,0.030140418,0.050932072,0.001692126,0.19310809,0.01952957,0.061879476,0.435259802,0.297674027,9.35E-06,0.037722267,6035,2591,989,700,6973,2745,338,285,0.056419797,0.02422265,0.009245929,0.006544136,0.065188939,0.02566236,0.003159883,0.002664398,34640,10469,0.323841221,0.097872221,335.73
hertford,24755,70.113884,39.59,41.18,1008,95,71,29,68.64,2601,30878,1470,2577,11517,5476,2,1749,8786,14933,69.929379,0.354918198,0.60323167,0.040719047,0.003837609,0.105069683,0.070652393,0.104100182,0.465239346,0.221207837,8.08E-05,0.059381943,627,270,76,24,1121,387,43,53,0.025328217,0.010906887,0.003070087,0.000969501,0.045283781,0.015633205,0.001737023,0.002140982,5940,3067,0.239951525,0.123894163,287.69
hoke,47606,65.06706,24.6,30.96,1795,87,59,40,43.15,4028,42927,3318,4176,23639,5440,0,0,21272,15716,121.754476,0.446834433,0.330126455,0.037705331,0.001827501,0.084611183,0,0.087720035,0.496555056,0.11427131,0,0.069697097,1101,443,57,81,1541,705,62,38,0.023127337,0.00930555,0.001197328,0.001701466,0.032369869,0.014809058,0.001302357,0.000798219,10300,3932,0.216359282,0.082594631,141.29
